ここから地域切り替え
鮨 Matsui はなれ,大阪府大阪市北区曽根崎2-5-22 パティオ曽根崎 505,06-6926-4010
Wine bar Lian,大阪府大阪市北区曽根崎新地1-7-9 エスパス北新地11 1F,090-3341-4488
鮨 岩屋 北新地店,大阪府大阪市北区曽根崎新地1-3-19 北新地ビルディング 1F,050-5890-8965
浜焼酒場 磯の香り,大阪府大阪市北区曽根崎2-14-3 ,06-6361-2266
梅田ホルモン酒場　鬼に金棒,大阪府大阪府大阪市北区芝田1-3-11 ウィン不動産ビル 1F ,080-6142-0838
牛鍋あぐら 梅田堂山店,大阪府大阪市北区堂山町16-13 MDビルⅡ 1F,06-6131-1786
和歌山の中華そば 天鳳  大阪駅前第3ビル店,大阪府大阪市北区梅田1-1-3 大阪駅前第3ビル B2F,06-6341-7722
炭火焼き 篭,大阪府大阪市北区曽根崎2-5-27 7F,06-6315-1510
千成屋珈琲 梅田,大阪府大阪市北区芝田1-6-6 2F ,06-6372-5012
鮨 日の樹,大阪府大阪市北区堂島1-5-5 エスパス北新地25 2F,06-6136-5435
黒毛和牛 ステーキハウス もり川,大阪府大阪市北区曽根崎新地1-7-4 YAMANA K2 Building 4F,090-1678-9591
神戸牛 五條,大阪府大阪市北区曽根崎新地1-2-6 新松リンデンビル2F,06-6225-8348
スパイス飯麺 兄弟舎,大阪府大阪市北区中津3-6-13 1F,06-6371-2310
ライスミールスフォータン 中津店,大阪府大阪市北区中津3-16-3 ,06-7223-8455
焼肉 いわさき,大阪府大阪市北区曾根崎1-7-22 ,06-6363-2215
大阪大衆居酒屋 飯と酒と音 almalio,大阪府大阪市北区兎我野町2-7 ノ-スプラザ 1F 2,050-5890-9264
サムギョプサル×韓国料理 コギソウル 梅田お初天神店,大阪府大阪市北区曽根崎2-10-19 河合ビル 3F,050-5890-9056
ロダス 阪急うめだ本店,大阪府大阪市北区角田町8-7 阪急うめだ本店  B1F,06-6361-1381
UWASASTORE,大阪府大阪市北区小松原町1-20 2F,050-5589-0314
鮨 菱井,大阪府大阪市北区堂島1-3-34 第２京松ビル 2F,080-7957-6001
うなぎ四代目菊川 ヒルトンプラザウエスト大阪店,大阪府大阪市北区梅田2-2-2 ヒルトンプラザウエスト,050-5872-7884
韓国鶏鍋 コチュ,大阪府大阪市北区大深町4-20 グランフロント大阪  7F,06-6485-7995
食堂びすこ,大阪府大阪市北区小松原町1-20 1F,050-5589-0315
三重人 グランフロント大阪店,大阪府大阪市北区大深町4-20 グランフロント大阪 南館 7F,050-5890-9170
un-treize,大阪府大阪市北区堂島1-1-13 ,050-5872-6909
SEOUL KICHEN,大阪府大阪市北区堂山町15-17-109 梅田SHOP TOWN アクトⅢ,06-6809-3151
すし酒場 スシノトリコ,大阪府大阪市北区堂山町17-19 ,050-5890-9165
パーラー中崎,大阪府大阪市北区中崎1-3-6 ,090-8480-0136
クロワッサン・サファリ 大丸梅田店,大阪府大阪市北区梅田3-1-1 大丸梅田店,06-6343-1231
梅田 鮨割烹のの,大阪府大阪市北区曽根崎2-11-23 ,050-5890-0561
北新地 肉処 石川ひとみ,大阪府大阪市北区曽根崎新地1-9-12 フォーシーズンフロント 1F,06-6453-1558
ニュー曙,大阪府大阪市北区堂山町6-2 ,050-5890-0558
梅田ワイン倶楽部,大阪府大阪市北区梅田1-9-20 大阪マルビル B2F,050-3159-7896
cafe & stand EL SOL,大阪府大阪市北区梅田1-2-2 大阪駅前第2ビル B1F 43-1,050-5890-9231
善祥庵 大丸梅田店,大阪府大阪市北区梅田3-1-1 大丸梅田店  B1F 西 和菓子売場,06-4256-5426
路地の丑,大阪府大阪市北区兎我野町15-18 ,090-9214-9445
金のとりから switch 茶屋町店,大阪府大阪市北区茶屋町14-5 ,06-4400-4456
魚とチーズとワインバル ウオチ,大阪府大阪市北区曽根崎1-2-24 参宮ビル 1F,050-5890-3271
チェディルアン,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
PISTACHIO MANIA 阪神梅田本店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店 F,06-6345-1201
ラ・メゾン白金グラン 阪神梅田本店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-1201
29.Deli萬野 阪神梅田本店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-2834
CUSTA,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
ベトナムDELI ビアホイ,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
メキシコ惣菜 DonPANCHO,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
C3 阪神梅田店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-1201
太陽ノ塔洋菓子店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-1201
魏飯夷堂,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-1201
発酵DELICATESSEN 阪神梅田店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-0471
Asian Soup&Deli AsiAji,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
DROOLY 阪神梅田本店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
Gelsomina,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-1201
天ぷら 圓堂 阪神梅田店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F,06-6345-0519
コンビニデリカ 阪神梅田本店,大阪府大阪市北区梅田1丁目13-13 阪神百貨店　地下1階,06-6345-1201
サブリナ 阪神百貨店梅田本店,大阪府大阪市北区梅田1-13-13 阪神百貨店梅田本店  B1F 阪神食品館,06-6345-1201
イタフレ酒場 シェアシェア,大阪府大阪市北区芝田1-5-14 シマサダビル B1F,080-3953-5912
焼肉・韓国料理 KollaBo 梅田店,大阪府大阪市北区小松原町2-4 大阪富国生命ビル B2F,050-5890-1270
404 NOT FOUND OSAKA,大阪府大阪市北区曾根崎2-5-24 中央ビル 3F・4F,050-5890-9200
Teppanyaki×Wine あかくろ,大阪府大阪市北区梅田2-2-22 ハービスPLAZA ENT 7F,06-7410-6370
ここから地域切り替え
GLITCH COFFEE OSAKA,大阪府大阪市北区中之島3-2 中之島フェスティバルタワー・ウエスト1F,06-4256-3066
炭火焼鳥 とり将,大阪府大阪市中央区伏見町2-3-4 ,06-4708-5220
Mahoroba,大阪府大阪市中央区平野町4-7-5 SRビル 1F,06-6226-8616
淡路島バーガー&C 肥後橋店,大阪府大阪市西区江戸堀1-23-31 ,06-6484-7102
おかか 北浜,大阪府大阪市中央区高麗橋1-7-3 The Kitahama PLAZA　2F,06-6208-5818
個室 泳ぎイカ 藁焼き小屋 た藁や 淀屋橋店,大阪府大阪市中央区平野町4-8-5 1F,06-6202-7777
麒麟,大阪府大阪市中央区備後町1-2-12 兼一ビル　1F,06-6232-2888
27℃ 肥後橋店,大阪府大阪市西区江戸堀1-1-11 ,06-6445-5224
鳥匠 Ren 北新地,大阪府大阪市北区曽根崎新地1-10-1 エスパシオンYAMADAビル 2F,06-6347-0141
キタハ○,大阪府大阪市中央区平野町1-7-1 ,06-6125-5556
モディリアーニ カフェ,大阪府大阪市北区中之島4-3-1 大阪中之島美術館 2F 芝生広場,06-6479-0550
TOSA,大阪府大阪市中央区北浜2-1-16 1F,050-5890-3273
